Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,138,-105.5,0,top
C2,10uF,C_0805_2012Metric,181.45,-113.5,0,top
C3,10uF C,C_0805_2012Metric,168.5,-120.5,0,top
C4,10uF C,C_0805_2012Metric,181.5,-118.5,0,top
C5,10uF C,C_0805_2012Metric,181.5,-121,0,top
C6,10uF,C_0805_2012Metric,148.55,-99.5,0,top
C7,10uF,C_0805_2012Metric,148.55,-97,0,top
C8,1uF,C_0805_2012Metric,147.5,-92,90,top
C9,1uF,C_0805_2012Metric,148.5,-102,0,top
D1,D,D_0805_2012Metric,143.5,-110.0625,-90,top
D2,LED,LED_0805_2012Metric,185.5625,-108.5,0,top
D3,D_Schottky,D_SMA,168.5,-115,-90,top
J1,Conn_01x02_Pin,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,183.6,-93.85,90,top
J2,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,135.42,-119,90,top
J3,USB_C_Receptacle_USB2.0_16P,AMPHENOL_12402012E212A,159.5,-118.5,0,top
R1,5.7k,R_0805_2012Metric,181.5,-108.5,180,top
R2,1k,R_0805_2012Metric,181.5,-111,0,top
R3,100k,R_0805_2012Metric,173.5,-120.5,0,top
R4,100k,R_0805_2012Metric,181.5,-116,0,top
R6,5.1k,R_0805_2012Metric,132.5,-91.9125,-90,top
R7,5.1k,R_0805_2012Metric,153,-117,-90,top
R8,5.1k,R_0805_2012Metric,150.5,-117,-90,top
SW1,SW_SPST,SW_DPDT_CK_JS202011JCQN,184,-102.3,0,top
SW3,SW_Push,SW_TS04-66-50-BK-160-SMT,140,-91.95,0,top
SW4,SW_Push,SW_TS04-66-50-BK-160-SMT,140,-99.5,0,top
U1,INA128,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,137.93,-109.75,-90,top
U3,MCP73831T-2ACI_OT,SOT-23-5,176.1,-109.4,180,top
U4,DMG3415U-7,SOT95P240X105-3N,176,-102.5,-90,top
U5,AP2112K-3.3,SOT-23-5,176,-115.5,-90,top
U6,ESP32-S3-WROOM-1-N16R2,ESP32-S3-WROOM-1,160.795,-94.3,0,top
