Value,Qnty,Ref,Vendor,Link,Price,Total price
47uF,1,C1,Digikey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A476MQYNNNG/3894447,0.27,0.27
10uF,3,"C2, C3, C4, C5, C6, C7",Digikey,https://www.digikey.com/en/products/detail/taiyo-yuden/LMK212BJ106KG-T/930652,$0.08 ,0.24
1uF,2,"C8, C9",Digikey,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687,0.08,0.16
D,1,D1,Digikey,https://www.digikey.com/en/products/detail/kyocera-avx/SD0805S020S0R5/3749524,0.34,0.34
LED,1,D2,Digikey,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/LG-R971-KN-1-0-20-R18/1227925,0.15,0.15
D_Schottky,1,D3,Digikey,https://www.digikey.com/en/products/detail/mcc-micro-commercial-components/SK54A-LTP/5114132?s=N4IgTCBcDaIMoGkCsAWAggWgDIBUAKIAugL5A,0.33,0.33
Conn_01x02_Pin,1,J1,Digikey,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S2B-PH-SM4-TB/926655?s=N4IgTCBcDaIMpgEIFoAKAJZcCyAWZAKogBQAyAYgJTFwBylIAugL5A,0.48,0.48
USB_C_Receptacle_USB2.0_16P,1,J3,Digikey,https://www.digikey.com/en/products/detail/amphenol-cs-commercial-products/12402012E212A/13683192,0.58,0.58
5.7k,1,R1,Amazon,https://www.amazon.com/Yobett-ohm-8850pcs-Resistor-Sample/dp/B013B55KQE?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3SC7BPT5ZUZY6&gQT=1&th=1,25.99,25.99
1k,1,R2,Amazon,https://www.amazon.com/Yobett-ohm-8850pcs-Resistor-Sample/dp/B013B55KQE?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3SC7BPT5ZUZY6&gQT=1&th=1,0,0
100k,2,"R3, R4",Amazon,https://www.amazon.com/Yobett-ohm-8850pcs-Resistor-Sample/dp/B013B55KQE?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3SC7BPT5ZUZY6&gQT=1&th=1,0,0
5.1k,3,"R6, R7, R8",Amazon,https://www.amazon.com/Yobett-ohm-8850pcs-Resistor-Sample/dp/B013B55KQE?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A3SC7BPT5ZUZY6&gQT=1&th=1,0,0
SW_SPST,1,SW1,Digikey,https://www.digikey.com/en/products/detail/c-k/JS202011JCQN/6137630?s=N4IgTCBcDaIFIGUwAYUEY1wMIEUByIAugL5A,0.84,0.84
SW_Push,2,"SW3, SW4",Digikey,https://www.digikey.com/en/products/detail/cts-electrocomponents/222AMVBAR/5227982,0.22,0.44
INA128,1,U1,Digikey,https://www.digikey.com/en/products/detail/texas-instruments/INA128UA/300997,10.09,10.09
MCP73831T-2ACI_OT,1,U3,Digikey,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301,0.76,0.76
DMG3415U-7,1,U4,Digikey,https://www.digikey.com/en/products/detail/diodes-incorporated/dmg3415u-7/2052768,0.45,0.45
AP2112K-3.3,1,U5,Digikey,https://www.digikey.com/en/products/detail/diodes-incorporated/AP2112K-3-3TRG1/4470746?s=N4IgTCBcDaIIIAUwEZlgNIFoDMA6bIAugL5A,0.22,0.22
ESP32-S3-WROOM-1-N16R2,1,U6,Digikey,https://www.digikey.com/en/products/detail/espressif-systems/esp32-s3-wroom-1-n16r8/16162642,6.56,6.56
PCB,1,-,JLCPCB,https://jlcpcb.com,$7 ,$7 
,,,,,,54.9
,,,,,,
HOWEVER: with PCBA,,,,,,
Cost with JLC PCBA:,,$87.10 ,,,,
,,Cost with shipping and tariffs,150,,,
,,,,,,
